OID_,Name,Month,TweetCount,Shape_Length,Shape_Area,MONTH2
185,Sumy,June,0.000000000000000,13.750833491454955,3.045700824427322,6.000000000000000
186,Sumy,May,1.000000000000000,13.750833491454955,3.045700824427322,5.000000000000000
187,Sumy,April,1.000000000000000,13.750833491454955,3.045700824427322,4.000000000000000
188,Sumy,March,0.000000000000000,13.750833491454955,3.045700824427322,3.000000000000000
189,Sumy,February,2.000000000000000,13.750833491454955,3.045700824427322,2.000000000000000
190,Ternopil',October,0.000000000000000,9.410609293470282,1.723720904753983,10.000000000000000
191,Ternopil',September,1.000000000000000,9.410609293470282,1.723720904753983,9.000000000000000
192,Ternopil',August,0.000000000000000,9.410609293470282,1.723720904753983,8.000000000000000
193,Ternopil',July,2.000000000000000,9.410609293470282,1.723720904753983,7.000000000000000
194,Ternopil',June,1.000000000000000,9.410609293470282,1.723720904753983,6.000000000000000
195,Ternopil',May,1.000000000000000,9.410609293470282,1.723720904753983,5.000000000000000
196,Ternopil',April,2.000000000000000,9.410609293470282,1.723720904753983,4.000000000000000
197,Ternopil',March,6.000000000000000,9.410609293470282,1.723720904753983,3.000000000000000
198,Ternopil',February,5.000000000000000,9.410609293470282,1.723720904753983,2.000000000000000
199,Transcarpathia,October,1.000000000000000,8.332885062274086,1.552434773238870,10.000000000000000
200,Transcarpathia,September,5.000000000000000,8.332885062274086,1.552434773238870,9.000000000000000
201,Transcarpathia,August,3.000000000000000,8.332885062274086,1.552434773238870,8.000000000000000
202,Transcarpathia,July,2.000000000000000,8.332885062274086,1.552434773238870,7.000000000000000
203,Transcarpathia,June,7.000000000000000,8.332885062274086,1.552434773238870,6.000000000000000
204,Transcarpathia,May,6.000000000000000,8.332885062274086,1.552434773238870,5.000000000000000
205,Transcarpathia,April,17.000000000000000,8.332885062274086,1.552434773238870,4.000000000000000
206,Transcarpathia,March,28.000000000000000,8.332885062274086,1.552434773238870,3.000000000000000
207,Transcarpathia,February,14.000000000000000,8.332885062274086,1.552434773238870,2.000000000000000
208,Vinnytsya,October,1.000000000000000,11.357954084128465,3.259854518905488,10.000000000000000
209,Vinnytsya,September,0.000000000000000,11.357954084128465,3.259854518905488,9.000000000000000
210,Vinnytsya,August,1.000000000000000,11.357954084128465,3.259854518905488,8.000000000000000
211,Vinnytsya,July,2.000000000000000,11.357954084128465,3.259854518905488,7.000000000000000
212,Vinnytsya,June,0.000000000000000,11.357954084128465,3.259854518905488,6.000000000000000
213,Vinnytsya,May,0.000000000000000,11.357954084128465,3.259854518905488,5.000000000000000
214,Vinnytsya,April,2.000000000000000,11.357954084128465,3.259854518905488,4.000000000000000
215,Vinnytsya,March,2.000000000000000,11.357954084128465,3.259854518905488,3.000000000000000
216,Vinnytsya,February,2.000000000000000,11.357954084128465,3.259854518905488,2.000000000000000
217,Volyn,October,0.000000000000000,10.708379983726484,2.611384916895361,10.000000000000000
